Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
ICRYPEX,https://www.crunchbase.com/organization/icrypex,2021-10-07,11-50,2018-01-01,month,"Cryptocurrency, Financial Exchanges, Financial Services, Stock Exchanges","Sariyer, Istanbul, Turkey","ICRYPEX is a cryptocurrency exchange platform focusing on money and foreign exchange markets, fixed income products, and digital currencies.","19,172",,Active,For Profit,https://www.icrypex.com/,https://twitter.com/icrypex,https://www.facebook.com/icrypex/,https://www.linkedin.com/company/icrypex-crypto-exchange,,"ICRYPEX is a cryptocurrency exchange platform focusing on money and foreign exchange markets, fixed income products, and digital currencies. It works integrated with all the world stock exchanges in order to provide the most convenient and fast crypto money upload to your account. The platform offers you an in-depth stock exchange service with 7 cryptocurrencies and 14 currency pairs.  ICRYPEX constantly improves in order to answer the needs of our users, tighten security and provide features that will create a new standard for cryptocurrency exchange platforms. They have partnered with cryptocurrency pioneers using international banking platform to provide users the convenience of 20 different fiat currencies on a single account, helping to foster a closer integration between crypto and fiat currencies. ICRYPEX was founded in 2018 and is headquartered in Sariyer, Istanbul, Turkey.",,,10000000,USD,10000000,Seed,10000000,USD,10000000,10000000,USD,10000000,Seed,Seed,,,,104,"246,518",info@icrypex.com,0850 255 1079
Rvvup,https://www.crunchbase.com/organization/rvvup,2021-12-20,11-50,2020-10-04,day,"Blockchain, Cryptocurrency, Finance, Mobile Payments, Payments, Transaction Processing","London, England, United Kingdom",Bridging the 3 Generations of Payments,"19,225",,Active,For Profit,https://www.rvvup.com/,https://www.twitter.com/rvvup_co,https://www.facebook.com/Rvvup/,https://www.linkedin.com/company/rvvup,,"Rvvup is building the global infrastructure to enable the interoperability of both the centralized and Web 3 decentralized financial systems, empowering billions of people with more choice, and businesses with faster settlement and lower costs.",,,7500000,USD,7500000,Seed,9600000,USD,9600000,7500000,USD,7500000,Seed,Seed,,,,25,"2,326",admin@rvvup.com,+44 (0) 20 8164 2736
NXRT,https://www.crunchbase.com/organization/nekonata,2022-05-30,11-50,2019-02-27,day,"Artificial Intelligence, Automotive, Autonomous Vehicles, Education, Enterprise Software, Information Technology, Railroad, Software, Software Engineering","Mödling, Niederosterreich, Austria",NXRT is developing the next generation of immersive simulation software for mixed reality driving applications supporting diverse industries,"19,266",Less than $1M,Active,For Profit,http://www.nxrt.io,https://www.linkedin.com/company/nxrt-rail-construction,,https://www.linkedin.com/company/nxrt,,"NXRT is an Austrian based company in the field of virtual & mixed reality technologies. As a software provider for the efficient creation of virtual simulation environments, we prepare drivers and autonomous systems for future challenges. The company is based on three main technology pillows. I.) A software framework based on game engines to speed up the development process of virtual driving environments. II.) A Mixed Reality Technology (patented) to enhance realism and reduce simulation hardware costs and III.) A sensor technology to transfer real vehicles within minutes into a simulator making traditional simulators obsolete.",,,2100000,EUR,2262309,Series A,2900000,EUR,3159314,2100000,EUR,2262309,Series A,Early Stage Venture,"eQventure, Hermann Hauser, Franz Fuchsberger, Wolfgang Platz",,,5,,contact@nxrt.io,
Gadsme,https://www.crunchbase.com/organization/gadsme,2022-04-07,11-50,2020-01-01,year,"Advertising, Online Games, Sports","Paris, Ile-de-France, France",Gadsme is an advertising company that offers advertising specifically for video games as well as sports.,"19,314",Less than $1M,Active,For Profit,https://www.gadsme.com/,,,https://www.linkedin.com/company/gadsme/,,,,,8000000,USD,8000000,Seed,8000000,USD,8000000,8000000,USD,8000000,Seed,Seed,"Ubisoft, Galaxy Interactive",,,3,"7,514",,
Flowlity,https://www.crunchbase.com/organization/flowlity,2022-03-10,11-50,2019-01-28,day,"Artificial Intelligence, Information Technology, Machine Learning, SaaS, Software, Supply Chain Management","Paris, Ile-de-France, France","SaaS using AI to build resilient supply chain, predict sales and consumptions and optimize inventories","19,357",$1M to $10M,Active,For Profit,http://www.flowlity.com,https://twitter.com/flowlity,,https://www.linkedin.com/company/18919006,,"Poor inventory management accounts for billions in losses. Responding to this need, Flowlity brings resilient planning to prevent overstocks and shortages. Our ambition is to make supply chain plans resilient to uncertainty, and help you shift from a deterministic model to a resilient one. With a unique approach based on artificial intelligence and supply chain expertise, Flowlity has been helping leading companies, such as Danone, La Redoute, Saint Gobain and Camif to plan and forecast their inventories since 2018. Our customers see, on average, a reduction of 30% of their inventories and 20% of their shortages.",,,5000000,EUR,5506680,Seed,6626681,USD,6626681,5000000,EUR,5506680,Seed,Seed,"Entrepreneur First, AGORANOV, SAP.iO, Fortino Capital, 42CAP",,,6,395,jbc@flowlity.com,
MQube,https://www.crunchbase.com/organization/m-qube-e552,2022-05-04,51-100,2018-01-01,year,"Artificial Intelligence, Financial Services, FinTech, Lending, Machine Learning","Guildford, Surrey, United Kingdom","MQube is a data-driven mortgage firm that uses AI to deliver mortgages with speed, certainty and control","19,374",$1M to $10M,Active,For Profit,https://www.mqube.com/,https://twitter.com/mqubemortgage,,https://www.linkedin.com/company/mqubemortgages,,"MQube is transforming one of the biggest financial markets in the UK: the mortgage market. Using innovative technology, data science and a relentless focus on user-experience, MQube are on a mission to solve the challenges faced by mortgage lenders, brokers, landlords and, of course, home buyers. Launching MPowered Mortgages and the MPowered platform live into the market in 2021, MQube have applied artificial intelligence, unique document extraction technology and smart data management to automate lending decisions, giving borrowers certainty and control. With significant financial backing from some of Europe’s leading venture funds, we are a team with a passion for innovation and creative problem-solving.",,,9000000,GBP,11354962,Series A,18000000,GBP,23406931,9000000,GBP,11354962,Series A,Early Stage Venture,"Citi, Barclays Corporate Banking, IQ Capital, M&G Investments, AV8 Ventures",,,8,"1,033",hello@mqube.com,
Jus Mundi,https://www.crunchbase.com/organization/jus-mundi,2021-09-21,51-100,2018-01-08,day,"Artificial Intelligence, Internet, Legal, Legal Tech, Software","Paris, Ile-de-France, France",Jus Mundi is the search engine for international and arbitration,"19,451",$1M to $10M,Active,For Profit,https://jusmundi.com/,https://twitter.com/jusmundi_com?lang=en,https://www.facebook.com/JusMundicom/,https://www.linkedin.com/company/jus-mundi,,Building the global rule of law is everyone’s responsibility. Jus Mundi democratizes access to all legal resources thanks to a search engine that combines international legal expertise with artificial intelligence,,,8500000,EUR,9964374,Series A,11059538,USD,11059538,8500000,EUR,9964374,Series A,Early Stage Venture,"FJ Labs, Acequia Capital (AceCap), C4 Ventures, Angelsquare, Kai Hansen",,,7,"69,057",jr.demaistre@jusmundi.com,+33 6 40 73 11 93
KIMO,https://www.crunchbase.com/organization/kimo-9626,2021-12-01,11-50,2018-01-01,year,"Artificial Intelligence, EdTech","Amsterdam, Noord-Holland, The Netherlands","KIMO is an AI-firm focused on personalized education. We map knowledge domains, and calculate optimal journeys through those domains.","19,465",,Active,For Profit,https://www.kimo.ai,https://twitter.com/kimo_ai,,https://www.linkedin.com/company/kimo-ai/,,"Kimo is a venture focused on smart education in Amsterdam. Our team is focused on auto-generating individual learning paths through all online content - where the end goal is truly personalised learning paths. KIMO combines an intelligent back-end (e.g. automated knowledge domain graphs, jobs to skills mappings) with an engaging frontend (e.g. virtual assistant with QA models). More at www.kimo.ai.",,,3000000,EUR,3395716,Series A,4450000,EUR,5101316,3000000,EUR,3395716,Series A,Early Stage Venture,,,,2,"6,963",hello@kimo.ai,
enspired,https://www.crunchbase.com/organization/enspired,2021-12-08,11-50,2020-01-01,year,"Battery, Energy, Power Grid, Renewable Energy, Trading Platform","Vienna, Wien, Austria",AI-powered energy trading services for global short-term power markets,"19,488",,Active,For Profit,https://www.enspired-trading.com/,,https://www.facebook.com/enspiredtrading/,https://www.linkedin.com/company/enspired/,,"enspired is a fully digital energy trading-as-a-service company. We drive the energy transition by enabling our clients to bring flexible assets to power spot markets and capture their full value with our AI-based trading services. Our team consists of leading algorithmic traders, data scientists and technology enthusiasts who firmly believe that the way power is traded will soon drastically change - in our world, there is no room for trading screens and traditional optimization. All trades get executed in a fully automated fashion using advanced AI algorithms that outperform the market and monetize our client's flexibility to the fullest while supporting grid stability. Our clients include leading utilities, operators of renewables and batteries or consumption assets across Europe.",,,7500000,EUR,8508186,Series A,7500000,EUR,8508186,7500000,EUR,8508186,Series A,Early Stage Venture,"360 Capital, i5invest, Helen Ventures, Emerald Technology Ventures, EnBW New Ventures",,,70,2,,
Reynen Court,https://www.crunchbase.com/organization/reynen-court,2022-03-08,11-50,2018-02-01,month,"Artificial Intelligence, Legal Tech, SaaS","Amsterdam, Noord-Holland, The Netherlands",Reynen Court enables law firms and corporate legal departments to speed their adoption of AI and other new technologies.,"19,496",$500M to $1B,Active,For Profit,https://www.reynencourt.com,https://twitter.com/reynencourt,,https://www.linkedin.com/company/reynen-court-llc/,,Reynen Court enables law firms and corporate legal departments to speed their adoption of AI and other new technologies. Its platform combines a solution store for legal technology with a powerful control panel that makes it easy to adapt and manage modern cloud-based software applications without having to trust firm or client content to the rapidly growing universe of vertically integrated SaaS providers. The platform also lets firms manage subscriptions and provisioning from one place and provides valuable telemetry and enhanced interoperability between and among third-party applications. The company was founded in 2018 and is headquartered in Amsterdam.,,,4300000,USD,4300000,Venture - Series Unknown,23139706,USD,23139706,4300000,USD,4300000,Venture - Series Unknown,,"Ventech, Clifford Chance, Latham & Watkins, Bryce Catalyst, Forefront Venture Partners",,,9,428,info@reynencourt.com,+31 6 236 603 10
Swish.ai,https://www.crunchbase.com/organization/deepcoding,2021-11-18,11-50,2017-12-17,day,"Artificial Intelligence, Business Intelligence, Data Visualization, Information Technology, IT Management, Machine Learning, Predictive Analytics, Software","Tel Aviv, Tel Aviv, Israel","Swish.ai is a hyperautomation platform that mines, automates, and predicts the routes to the best-matched agent.","19,625",$1M to $10M,Active,For Profit,https://swish.ai,https://twitter.com/Swishers_ai,,https://www.linkedin.com/company/deepcoding/,,"Swish.ai provides a hyper-automation platform that works with any existing ITSM tool to uncover and act on insights in real-time, accelerating ticket resolution time and reducing costs.",,,13000000,USD,13000000,Series A,14900000,USD,14900000,13000000,USD,13000000,Series A,Early Stage Venture,"StageOne Ventures, Ariel Maislos, Dell Technologies Capital, Samsung NEXT, Skywell Capital Partners",,,9,267,,
Nyobolt,https://www.crunchbase.com/organization/cb2tech,2021-08-31,11-50,2020-01-01,year,"Battery, Renewable Energy","Cambridge, Cambridgeshire, United Kingdom",Nyobolt is a developer of high-power battery technology used to serve automotive applications.,"19,812",$1M to $10M,Active,For Profit,https://nyobolt.com/,,,https://www.linkedin.com/company/cb2tech/,,"Nyobolt is a developer of high-power battery technology used to serve automotive applications. It researches and develops battery technology that could have a higher power, recharge at a faster speed and store large amounts of energy that helps the automotive industry with solutions for high-power applications.",,,9000000,GBP,12377292,Venture - Series Unknown,24307013,USD,24307013,9000000,GBP,12377292,Venture - Series Unknown,,"Parkwalk Advisors, IQ Capital, University of Cambridge Enterprise",2021-03-17,,9,"4,448",info@cb2.tech,
Joltee,https://www.crunchbase.com/organization/joltee,2022-07-01,11-50,2019-06-13,day,"Auto Insurance, Insurance, InsurTech","Paris, Ile-de-France, France","The electric car insurance. Earn Jolts thanks to your sustainable trips. Spend them to charge your car, rent an e-bike and much more.","19,876",,Active,For Profit,https://www.joltee.fr,https://twitter.com/JolteeAssurance,https://www.facebook.com/JolteeAssurance,https://www.linkedin.com/company/joltee,,,,,,,,Seed,520677,USD,520677,,,,Seed,Seed,,,,7,,contact@joltee.fr,
